번호,야영장명,사업주체_구분,도,시군구,주소,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1796,(주)청보리,민간,경상남도,통영시,경상남도 통영시 욕지면 욕지일주로 896-71 ,0,28,0,0,0,0,4,0,0,6,0,0,28,0,0,2014-03-10,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","산책로,수상레저,낚시,강/물놀이,청소년체험시설",20,10,0,0,"일몰명소,수상레저,낚시,액티비티,여름물놀이","릴선,화로대",불가능
1797,캠프통 아일랜드,민간,경기도,가평군,경기 가평군 청평면 호반로 976,0,0,28,0,0,,0,0,0,0,0,0,28,0,0,2016-07-19,불가,"전기,무선인터넷,온수,놀이터,운동시설","수상레저,강/물놀이,어린이놀이시설",28,0,0,28,"일몰명소,수상레저,액티비티,가을단풍명소,겨울눈꽃명소",,불가능
1798,평창 반딧불캠핑장,민간,강원도,평창군,강원도 평창군 봉평면 흥정리 93-12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-23,,"전기,온수,물놀이장,운동시설",,0,0,0,0,,,불가능
1799,메이플트리글램핑,민간,경기도,가평군,경기 가평군 상면 수목원로 181-28,0,0,23,0,0,,0,0,0,0,0,0,0,0,0,2016-10-28,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,강/물놀이",23,4,4,23,"일몰명소,봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","화로대,난방기구",가능(소형견)
1800,캡틴 카라반 글램핑,민간,경기도,가평군,경기 가평군 상면 청군로 776-22,0,0,16,10,0,4,0,0,0,0,0,0,0,0,0,2022-04-07,개별,"전기,장작판매,온수,물놀이장,마트.편의점,덤프스테이션",,30,0,0,30,,,불가능
1801,가평뜰캠핑장,민간,경기도,가평군,경기 가평군 설악면 뇌암길 49,40,0,0,0,0,,0,0,0,0,0,0,40,0,0,2018-01-03,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설","계곡 물놀이,산책로,운동장,낚시,강/물놀이,농어촌체험시설",20,0,1,0,"일출명소,일몰명소,낚시,액티비티,봄꽃여행,여름물놀이,가을단풍명소,걷기길","릴선,화로대",불가능
1802,각흘계곡캠핑장,민간,경기도,포천시,경기도 포천시 이동면 금강로 6439,0,40,0,4,0,0,7,0,0,8,0,0,40,0,0,2018-04-13,개별,"전기,무선인터넷,장작판매,온수,트렘폴린","계곡 물놀이,산책로",1,0,0,0,"여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,화로대",불가능
1803,검디 관광농원 야영장,민간,인천광역시,강화군,인천광역시 강화군 길상면 동검리 127-18,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-07-12,개별,,,0,0,0,0,,,불가능
1804,MK골드캠프,민간,경기도,용인시,경기도 용인시 기흥구 고매동 기흥단지로 398 ,2,0,17,3,0,,5,0,0,6,0,0,0,0,0,2016-02-01,개별,,,9,0,0,0,액티비티,,가능
1805,공수전리 마을 휴향지,민간,강원도,양양군,강원 양양군 서면 용소길 89,100,0,0,0,0,,3,0,0,5,0,0,100,0,0,2017-07-14,개별,마트.편의점,계곡 물놀이,40,0,0,0,여름물놀이,,가능
1806,구름위산책,민간,경기도,가평군,경기도 가평군 조종면 현리 2-8,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-09-06,,,,0,0,0,0,,,불가능
1807,구절초마을캠핑장,민간,강원도,정선군,강원 정선군 여량면 노추산로 794,0,12,3,0,0,,4,0,0,4,0,0,18,0,0,2015-07-17,개별,"전기,무선인터넷,장작판매,온수,운동장","계곡 물놀이,산책로,운동장,낚시,농어촌체험시설",4,0,4,2,"액티비티,가을단풍명소",,불가능
1808,국립화천숲속야영장,국립공원,강원도,화천군,강원특별자치도 화천군 간동면 배후령길 1144,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-20,불가,"전기,무선인터넷,온수","계곡 물놀이,산책로,청소년체험시설",68,4,0,6,,"릴선,일산화탄소감지기",가능(소형견)
1809,그랑블루 글램핑야영장,민간,강원도,양양군,강원도 양양군 강현면 용호리 118번지 외 3필지,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-08-09,,,,0,0,0,0,,,불가능
1810,스톤힐,민간,경상남도,거제시,경남 거제시 수양1길 92-5,0,0,9,0,0,,0,0,0,0,0,0,0,0,0,2017-12-29,개별,"전기,무선인터넷,온수,놀이터","산책로,낚시",10,0,0,10,걷기길,,불가능
1811,길안 다슬기캠프,민간,경상북도,안동시,경상북도 안동시 길안면 웃장터길 80,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-11-05,,,,0,0,0,0,,,불가능
1812,왕방산 암벽공원 야영장,지자체,경기도,포천시,경기 포천시 신북면 깊이울로 234-21,9,0,0,7,0,0,6,5,6,8,8,4,3,3,3,2015-08-04,개별,"전기,산책로","계곡 물놀이,산책로,수상레저,해수욕",18,0,0,7,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
1813,꿈꾸는캠핑장 (한시 야영장),민간,충청남도,태안군,충남 태안군 남면 신온리 903-87,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-07-24,,,,0,0,0,0,,,
1814,남원 백두대간 힐링캠핑장,국립공원,전라북도,남원시,전북 남원시 운봉읍 행정공안길 299,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-07-16,,,,0,0,0,0,,,불가능
1815,뉴힐링캠프,민간,경기도,포천시,경기도 포천시 이동면 금강로 6135-32 ,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,2018-07-09,,,,0,0,0,0,,,불가능
1816,양평 다목적캠핑장,민간,경기도,양평군,경기 양평군 양동면 양서동로 224,0,70,10,0,16,,7,8,4,7,7,4,48,16,6,2015-10-14,개별,"트렘폴린,물놀이장,산책로,마트.편의점","산책로,수영장,어린이놀이시설",45,0,0,10,"스키,가을단풍명소,겨울눈꽃명소",,불가능
1817,단양 남천 야영장,지자체,충청북도,단양군,충북 단양군 영춘면 남천4길 33,30,0,0,0,0,0,5,6,7,7,9,10,6,15,9,2017-04-20,개별,,"계곡 물놀이,산책로,낚시,강/물놀이,어린이놀이시설",30,1,0,1,"낚시,봄꽃여행,여름물놀이,가을단풍명소,걷기길",,가능
1818,달재오토캠핑장,민간,충청북도,제천시,충북 제천시 백운면 덕동로2길 23-13,0,17,0,0,0,,6,6,0,9,8,0,8,9,0,2018-10-02,개별,"전기,장작판매,온수,마트.편의점","계곡 물놀이,산책로,낚시,강/물놀이",10,1,0,2,,,가능
1819,연천 당포성 캠핑장,민간,경기도,연천군,경기도 연천군 미산면 마동로 38-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-19,,,,0,0,0,0,,,불가능
1820,대관령자연휴양림,자연휴양림,강원도,강릉시,강원도 강릉시 성산면 삼포암길 133 ,33,0,0,0,0,,3,0,0,3,0,0,33,0,0,2015-06-02,불가,"놀이터,산책로,운동시설,마트.편의점","계곡 물놀이,해수욕,어린이놀이시설",17,0,0,0,"봄꽃여행,가을단풍명소",,불가능
1821,대천해수욕장 야영장,지자체,충청남도,보령시,충남 보령시 신흑동 2116,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-01,개별,"전기,산책로","산책로,수상레저,낚시,해수욕,농어촌체험시설,어린이놀이시설",0,0,0,0,"일몰명소,수상레저,액티비티,여름물놀이,걷기길",,불가능
